team,games,shots,xg,pens_for,pens_against,fouls_won,fouls_committed,yellows,reds
Argentina,7,96,10.02,5,2,132,114,17,0
Australia,4,26,1.58,0,0,33,60,7,0
Belgium,3,35,3.69,0,1,41,31,5,0
Brazil,5,94,9.72,1,0,77,66,6,0
Cameroon,3,28,3.07,0,0,43,36,7,1
Canada,3,34,3.15,1,0,40,37,8,0
Costa Rica,3,11,1.23,0,1,39,31,6,0
Croatia,7,79,6.9,0,1,103,101,8,0
Denmark,3,35,3.19,0,0,24,34,5,0
Ecuador,3,29,3.02,1,1,39,50,3,0
England,5,61,7.17,2,1,77,57,1,0
France,7,100,10.25,2,4,100,75,8,0
Germany,3,67,7.45,1,0,30,31,3,0
Ghana,3,24,2.57,1,1,41,51,8,0
Iran,3,32,3.05,1,0,29,52,7,0
Japan,4,44,4.25,0,1,43,63,6,0
Mexico,3,41,3.06,0,1,49,53,7,0
Morocco,7,62,5.54,0,0,88,115,8,1
Netherlands,5,43,4.99,0,1,55,99,11,1
Poland,4,29,3.1,2,2,51,52,7,0
Portugal,5,64,5.75,2,0,74,59,6,0
Qatar,3,20,1.41,0,1,45,36,7,0
Saudi Arabia,3,29,2.42,1,1,39,59,14,0
Senegal,4,49,3.49,1,0,64,49,7,0
Serbia,3,32,3.09,0,0,30,48,12,0
South Korea,4,48,3.6,0,1,35,47,6,0
Spain,4,47,3.97,1,0,57,44,2,0
Switzerland,4,37,6.09,0,0,54,61,9,0
Tunisia,3,32,2.41,0,0,35,41,5,0
United States,4,46,3.94,0,1,49,51,5,0
Uruguay,3,33,3.27,0,2,40,34,8,0
Wales,3,23,1.44,1,0,37,38,5,1
